skill,theta_max_rad,theta_max_deg,resultant_R,I_max_kde,n_used,type,name,ability,group,pole
,0.3692486884295205,21.15639143775264,0.7531338029289183,1.0,878,Ability,Oral Expression,Oral Expression,A1,Pole 1: Social/Cognitive
,0.061331008629301,3.514007947739381,0.7443958152290606,1.0,878,Ability,Speech Clarity,Speech Clarity,A1,Pole 1: Social/Cognitive
,0.4797225730815347,27.48607877472814,0.728974985537511,1.0,878,Ability,Oral Comprehension,Oral Comprehension,A1,Pole 1: Social/Cognitive
,0.4407873208213579,25.25525314594281,0.7208396613073526,1.0,878,Ability,Written Expression,Written Expression,A1,Pole 1: Social/Cognitive
,0.509124699947537,29.170696552858274,0.7036473980317983,1.0,878,Ability,Written Comprehension,Written Comprehension,A1,Pole 1: Social/Cognitive
,0.5963574198460089,34.168763238487585,0.703580982710795,1.0,878,Ability,Inductive Reasoning,Inductive Reasoning,A1,Pole 1: Social/Cognitive
,0.640707128913945,36.709814390713404,0.697897224852057,1.0,878,Ability,Deductive Reasoning,Deductive Reasoning,A1,Pole 1: Social/Cognitive
,0.0758703869195416,4.347052960514306,0.6922097451761056,1.0,878,Ability,Speech Recognition,Speech Recognition,A1,Pole 1: Social/Cognitive
,0.5617893468402776,32.18815854935907,0.6785625757091104,1.0,878,Ability,Fluency of Ideas,Fluency of Ideas,A1,Pole 1: Social/Cognitive
,0.8462134724236933,48.4844605369877,0.6652089816453636,1.0,878,Ability,Category Flexibility,Category Flexibility,A1,Pole 1: Social/Cognitive
,0.566617351228189,32.46478282425704,0.6455047883651714,1.0,878,Ability,Originality,Originality,A1,Pole 1: Social/Cognitive
,0.5763864626387227,33.02451167767372,0.6260832615789395,1.0,878,Ability,Problem Sensitivity,Problem Sensitivity,A1,Pole 1: Social/Cognitive
,0.8871412756343239,50.829450925698815,0.6222911320413292,1.0,878,Ability,Mathematical Reasoning,Mathematical Reasoning,A1,Pole 1: Social/Cognitive
,0.858727708240975,49.20147343314939,0.5951729013681911,1.0,878,Ability,Information Ordering,Information Ordering,A1,Pole 1: Social/Cognitive
,0.8725408689891921,49.992909245758,0.5908486197779212,1.0,878,Ability,Number Facility,Number Facility,A1,Pole 1: Social/Cognitive
,0.3155256295884265,18.07828690362497,0.5223371750563861,1.0,878,Ability,Memorization,Memorization,A1,Pole 1: Social/Cognitive
,1.0708839188965913,61.35712890120463,0.5120419885360599,1.0,878,Ability,Flexibility of Closure,Flexibility of Closure,A1,Pole 1: Social/Cognitive
,0.7483776466030228,42.87888063228623,0.4861256722450381,1.0,878,Ability,Speed of Closure,Speed of Closure,A1,Pole 1: Social/Cognitive
,0.8606510382749665,49.311672126707855,0.3216748401553528,1.0,878,Ability,Near Vision,Near Vision,A1,Pole 1: Social/Cognitive
,5.831456261861479,334.1178322197985,0.0991660048023611,1.0,878,Ability,Time Sharing,Time Sharing,A1,Pole 1: Social/Cognitive
,3.224780443030949,184.7663092420012,0.725956497375551,1.0,878,Ability,Depth Perception,Depth Perception,A2,Pole 2: Technical/Physical
,3.255541838600553,186.5288073800719,0.6939013034599605,1.0,878,Ability,Rate Control,Rate Control,A2,Pole 2: Technical/Physical
,3.2560405413993587,186.55738094567485,0.6881333992245878,1.0,878,Ability,Reaction Time,Reaction Time,A2,Pole 2: Technical/Physical
,3.222398633537245,184.62984161040777,0.6626104854763456,1.0,878,Ability,Control Precision,Control Precision,A2,Pole 2: Technical/Physical
,3.4487477148956245,197.5986886689062,0.650026132788265,1.0,878,Ability,Extent Flexibility,Extent Flexibility,A2,Pole 2: Technical/Physical
,3.3549567777572764,192.22486381430204,0.6336772568805684,1.0,878,Ability,Multilimb Coordination,Multilimb Coordination,A2,Pole 2: Technical/Physical
,3.52561433075371,202.00282134302785,0.6324796059491541,1.0,878,Ability,Static Strength,Static Strength,A2,Pole 2: Technical/Physical
,3.572805680646681,204.70668652142027,0.5949549006412295,1.0,878,Ability,Trunk Strength,Trunk Strength,A2,Pole 2: Technical/Physical
,3.3580061573065225,192.39958039260736,0.5928093007400497,1.0,878,Ability,Manual Dexterity,Manual Dexterity,A2,Pole 2: Technical/Physical
,3.279108626368388,187.8790848558494,0.5849864607253972,1.0,878,Ability,Wrist-Finger Speed,Wrist-Finger Speed,A2,Pole 2: Technical/Physical
,3.315464072534718,189.9620984834952,0.5697883192916535,1.0,878,Ability,Response Orientation,Response Orientation,A2,Pole 2: Technical/Physical
,3.544105967072504,203.0623140603856,0.5588829016065028,1.0,878,Ability,Dynamic Strength,Dynamic Strength,A2,Pole 2: Technical/Physical
,3.4933304666737093,200.15309218486985,0.555533299003166,1.0,878,Ability,Speed of Limb Movement,Speed of Limb Movement,A2,Pole 2: Technical/Physical
,3.240675436298429,185.67702527161663,0.5475369943098934,1.0,878,Ability,Glare Sensitivity,Glare Sensitivity,A2,Pole 2: Technical/Physical
,3.2549193843974007,186.4931433812911,0.5375334952490172,1.0,878,Ability,Sound Localization,Sound Localization,A2,Pole 2: Technical/Physical
,3.4586486902097544,198.16597276746904,0.5330299426974977,1.0,878,Ability,Gross Body Equilibrium,Gross Body Equilibrium,A2,Pole 2: Technical/Physical
,3.194659907156277,183.04052965971007,0.5245168917518737,1.0,878,Ability,Finger Dexterity,Finger Dexterity,A2,Pole 2: Technical/Physical
,3.051954975218381,174.86413934396697,0.5204118545699897,1.0,878,Ability,Hearing Sensitivity,Hearing Sensitivity,A2,Pole 2: Technical/Physical
,3.6869003438054735,211.24382918538583,0.5192573427898793,1.0,878,Ability,Dynamic Flexibility,Dynamic Flexibility,A2,Pole 2: Technical/Physical
,3.6233661704652302,207.60358919813729,0.5149427168586654,1.0,878,Ability,Stamina,Stamina,A2,Pole 2: Technical/Physical
,3.2612544944153385,186.85611844807,0.5052797389247515,1.0,878,Ability,Arm-Hand Steadiness,Arm-Hand Steadiness,A2,Pole 2: Technical/Physical
,3.2207176298239424,184.53352719228968,0.5049278470564852,1.0,878,Ability,Auditory Attention,Auditory Attention,A2,Pole 2: Technical/Physical
,3.3173141639945243,190.06810091585527,0.5045928158220458,1.0,878,Ability,Peripheral Vision,Peripheral Vision,A2,Pole 2: Technical/Physical
,3.5855963137418985,205.43953581507657,0.4929960183243495,1.0,878,Ability,Gross Body Coordination,Gross Body Coordination,A2,Pole 2: Technical/Physical
,3.2782980320028225,187.83264121980545,0.490451521325265,1.0,878,Ability,Night Vision,Night Vision,A2,Pole 2: Technical/Physical
,3.227082653345652,184.89821617658515,0.4653477101534535,1.0,878,Ability,Spatial Orientation,Spatial Orientation,A2,Pole 2: Technical/Physical
,2.508759780160611,143.74134721537126,0.4585839433523582,1.0,878,Ability,Visualization,Visualization,A2,Pole 2: Technical/Physical
,2.681228080434596,153.62305292086552,0.4051824286158803,1.0,878,Ability,Visual Color Discrimination,Visual Color Discrimination,A2,Pole 2: Technical/Physical
,2.2864280626507485,131.00267815016127,0.3799876158977686,1.0,878,Ability,Perceptual Speed,Perceptual Speed,A2,Pole 2: Technical/Physical
