bin_center_rad,bin_center_deg,mean_sim,median_sim,p20_sim,p80_sim,n_pairs
0.05235987755982988,3.0,0.556436589845928,0.6471498757702425,0.316672514873962,0.8333997956283837,16735
0.15707963267948966,9.0,0.526982184310115,0.6116292879756637,0.27828507133161495,0.8103401198342844,16085
0.2617993877991494,14.999999999999998,0.5032824022601674,0.5873527680992847,0.23835221270023818,0.78927404998496,14831
0.36651914291880916,20.999999999999996,0.4737828413535872,0.5615153772224547,0.20800040792300084,0.7635734635949264,13995
0.47123889803846897,27.0,0.43322847514739715,0.5191717297069974,0.15204488196677257,0.7368014930287671,13187
0.5759586531581287,32.99999999999999,0.3948045284030082,0.47142785929203623,0.09587108555138239,0.7062231745171308,12225
0.6806784082777885,39.0,0.3455897103683812,0.41374021891172497,0.0257104817942052,0.6705749025251387,11637
0.7853981633974483,45.0,0.3169135889161016,0.3709611837364166,0.003212296326792733,0.6459621787394226,11266
0.890117918517108,50.99999999999999,0.28148565717480456,0.3369264999189069,-0.04823611714213974,0.6205680518054183,10867
0.9948376736367678,57.0,0.2588637232364748,0.30625449369854907,-0.0705689799812394,0.5931625506461904,11056
1.0995574287564276,63.0,0.21190922426321565,0.25050423065365635,-0.13098632296030954,0.5597001737146183,11215
1.2042771838760873,69.0,0.17152187331988825,0.19945362923743956,-0.17662583406578508,0.5277928734733558,11819
1.308996938995747,74.99999999999999,0.12579151158019655,0.1449557087443911,-0.22378463629190118,0.4762345858018783,11939
1.413716694115407,81.0,0.07162332525917543,0.08367607020175785,-0.2844158061843876,0.4274111517594444,12212
1.5184364492350666,87.0,0.025492558558927493,0.02277716237058385,-0.32969341402011326,0.3734063134280502,12183
1.6231562043547263,92.99999999999999,-0.02846831043345214,-0.04716342582119695,-0.3766877711946833,0.3161565498188279,12189
1.7278759594743862,99.0,-0.07770673689582121,-0.10017604533493178,-0.43182903390565675,0.2742779199058734,12229
1.832595714594046,105.0,-0.1299940879606225,-0.16683135529622278,-0.47502516171649933,0.21755117021949144,12151
1.9373154697137056,110.99999999999999,-0.17285814006482134,-0.21769224060788583,-0.5150758017410559,0.1640164328514911,12371
2.0420352248333655,117.0,-0.22809659707356203,-0.2886895092628826,-0.5603016775561394,0.09923751889773107,11965
2.146754979953025,122.99999999999999,-0.2682449800713186,-0.33476858869520987,-0.5832914617690664,0.039802989863131175,11780
2.251474735072685,129.0,-0.3096899577516682,-0.37953500735229656,-0.6222905489948176,-0.011642438095961282,11846
2.356194490192345,135.0,-0.35118672954006863,-0.432489671911481,-0.65520949868682,-0.068132801672923,12598
2.4609142453120043,140.99999999999997,-0.3842043098395623,-0.47879094898013164,-0.6799372203697035,-0.1111658903683606,12988
2.5656340004316642,147.0,-0.4255285274748662,-0.5168118906705919,-0.706362200668357,-0.18183165195814385,13437
2.670353755551324,153.0,-0.4488031075727058,-0.5488894849604996,-0.7152014069321069,-0.20596677491067528,13743
2.7750735106709836,158.99999999999997,-0.46246494700479507,-0.5603683978937597,-0.714260153280822,-0.24115713315877624,14088
2.8797932657906435,165.0,-0.47403893724549667,-0.5723428558782091,-0.7166256818566389,-0.2615048588943937,13942
2.9845130209103035,171.0,-0.4891170203279282,-0.5822124647630529,-0.7256878472707688,-0.2892584147695521,14158
3.089232776029963,176.99999999999997,-0.49459972867638435,-0.5849671393633076,-0.731493374337966,-0.2969867768162154,14266
