onet_code,xi,chi,norm_v_minus_global,gini_resid_abs,participation_resid_abs
11-1011.00,0.0432880374740697,0.428554446147045,9.722320756972513,0.504326010993462,0.5255409132448958
11-1011.03,0.7319711650522066,0.5689972886910015,5.390374842904403,0.457653316628404,0.5778054165400408
11-1021.00,6.009418790413957,0.2249623046912035,4.779131476203018,0.48994491634929127,0.5082987386104083
11-2011.00,6.186037763263066,0.3534879230816969,5.953873928050283,0.47041590493025276,0.5469324334785876
11-2021.00,0.5228602622859758,0.329644241090433,6.172489460553055,0.5229543459904273,0.48694230917241277
11-2022.00,5.913709870277248,0.2702259567642287,6.083008932003507,0.48726143542141953,0.5305524494635646
11-2033.00,6.22221580559785,0.4352335646664907,5.209587069916771,0.5609758728301266,0.41491553090805117
11-3012.00,5.92454583752824,0.3144911988944552,4.046537307580497,0.5192716814224645,0.4874218007714913
11-3013.00,5.98552485495477,0.161412467670889,3.9907491192053257,0.47816766451321735,0.5394410230470534
11-3013.01,0.5435556012825746,0.4130590289308359,4.391614907265175,0.5079465051795269,0.5119458444083924
11-3021.00,0.3670887892730913,0.3243190125393295,5.349385116931573,0.49885543274093047,0.5432152587277411
11-3031.00,0.051494081126868,0.2822642132868055,5.387026974670923,0.5620187155493244,0.41313533279526793
11-3031.01,6.148192677012326,0.3595297959650215,7.190674164037002,0.5189155409785335,0.4628970034290054
11-3031.03,0.5340934561205879,0.3991306703008781,5.25809398323559,0.45539327806577057,0.5000237931262278
11-3051.00,1.3134581371015273,0.1989424541118191,6.551541486132174,0.4323427560366224,0.6168373873378843
11-3051.01,1.4841349685704164,0.4914131197576318,5.453233555329871,0.34590942037479233,0.716929761417453
11-3051.02,1.8948787588329048,0.3841222058814747,6.092888134680623,0.44908301579377796,0.5676385652655705
11-3051.03,2.075153839565387,0.3588160067798626,5.0809097744481475,0.4229822602391651,0.6168341231594215
11-3051.04,2.180300758593517,0.3643382047763537,6.04384041866115,0.4343465598574523,0.5876369280889773
11-3051.06,1.8995174726333008,0.3619763582343961,6.012049683976134,0.45747077818028536,0.5860148812665615
11-3061.00,6.1840020285821184,0.1570309886772475,6.160200566162907,0.4936414200987136,0.49870215686603214
11-3071.04,1.392188541483666,0.2250395021546922,5.478917904349137,0.45777383314190345,0.5713311015758339
11-3111.00,0.0771132916733985,0.3880709943179223,5.75859659957832,0.5275587464293168,0.44873868012475154
11-3121.00,6.206172350305481,0.3682831964217108,6.693543326833792,0.460187966721731,0.5287586656980416
11-3131.00,0.2840099047546617,0.4198800825372232,6.66949977731394,0.49221007660156246,0.5219822866812177
11-9021.00,1.2297930293988537,0.2799142353404707,6.23301003270054,0.45664268319396406,0.5721926941239461
11-9031.00,6.194234097715824,0.5442641815596887,5.111678213548049,0.5384783272556091,0.4403754537080418
11-9032.00,6.114996342299024,0.5494181131424678,8.104863170112262,0.4150742047713243,0.6314302662989765
11-9033.00,6.00315216044644,0.5891736908121812,6.377896532685429,0.4084720716263315,0.6160463827787299
11-9041.00,0.937107716436116,0.4452235315242326,5.519542620725497,0.4615462908424415,0.591274571149606
11-9041.01,1.4881990235757905,0.5500656066314279,3.599558304889205,0.46980585921583673,0.5739370181748104
11-9051.00,5.430672624270965,0.1948816263706342,3.731323904039586,0.4303284853477227,0.6202417448247699
11-9071.00,5.220005326393096,0.2507890520677467,4.350761139845718,0.33578700483034085,0.7352857612452497
11-9072.00,5.398059145156708,0.2846282913798282,4.15738609828956,0.40288947612630355,0.6175689060834648
11-9081.00,5.370140969998184,0.3992321234350646,5.049282899928335,0.33223953798616335,0.7004766906190385
11-9111.00,0.1088630553768236,0.431270105092554,6.312973819153847,0.5444732589229773,0.4284626532810553
11-9121.00,0.7306028221630059,0.525811436126145,7.688161427847268,0.45140790553703325,0.5526849783744022
11-9121.01,0.3788404805495073,0.4717310291252983,4.746360906861003,0.4382968964861451,0.5861423754645142
11-9121.02,1.151171244999368,0.5199114364580348,4.804691631722691,0.4419606918121526,0.6200973286726312
11-9131.00,5.3358018701970575,0.3459666620832203,3.566830415902806,0.38397604217076675,0.6543256044482493
11-9141.00,6.016525751338974,0.1938837711119767,4.356268328379119,0.46581258323349206,0.5612193144333131
11-9151.00,0.0112148476474859,0.5411735940745532,5.645222338602427,0.4706441497483336,0.5589840345182143
11-9161.00,0.4692335569122504,0.477072923987171,6.704849344193937,0.39816438498387563,0.6407686755535922
11-9171.00,5.699652055368022,0.2931433281835096,3.7005499116497815,0.4579632962014395,0.5689882589432839
11-9179.01,0.0431598923943353,0.3642190630584683,3.7676536252627004,0.5062435841258939,0.5231100079390822
11-9179.02,5.664861962785134,0.271532654751934,4.918996201964765,0.4602401091225934,0.5216727181803652
11-9199.01,0.7266915245160508,0.4696403171220251,5.06364422952831,0.43339998054315165,0.5938371523015556
11-9199.02,0.6306113112430349,0.4635745946350272,4.071553792647767,0.5082846513208212,0.45876608010471853
11-9199.08,0.5701552177614592,0.2332781082841879,4.629779036959684,0.4588389090707803,0.5100894145459294
11-9199.09,1.932368764474121,0.1067965156246468,5.121282512113987,0.5272593532184691,0.4777897587418527
11-9199.10,1.3256365724106802,0.3393122816740593,4.387119030112393,0.44686689943086466,0.5633142152777519
11-9199.11,1.19484762989641,0.4708805552652025,5.516761325778411,0.4735305551529607,0.5068605660189713
13-1011.00,5.98481568121195,0.4061452098540085,5.080015374875914,0.4395447551663767,0.6102803201715439
13-1021.00,4.37583793939748,0.0722859425590822,3.363721931057442,0.3558807918101665,0.6992522903313384
13-1022.00,0.4109924160227859,0.1263459724852309,4.9367773455740265,0.45912086618439374,0.5478915294059391
13-1023.00,0.5520027690977645,0.1791582034742468,5.448259899787009,0.5904141810333747,0.39251823998700996
13-1031.00,0.5397846570230027,0.2613571453339793,3.5942912455023768,0.46036619433519466,0.5141076109004749
13-1032.00,2.33065603286353,0.2499894448419347,2.6314222557861635,0.41877536637332446,0.637199536698594
13-1041.01,1.1179818287056449,0.3506376126116227,4.581170577781863,0.44819767772957175,0.5888062130965375
13-1041.03,0.3068637901177291,0.4419888130379913,5.055656246365355,0.4789926651204319,0.5239514971032869
13-1041.04,1.1011102317235697,0.3719092536665355,3.5470063336666513,0.5079435573882776,0.5092783247643766
13-1041.06,6.156213180731713,0.2408408111110233,3.7493042864864776,0.5333583016617112,0.4465502778694653
13-1041.07,0.7931597056434818,0.4281748731570335,4.650440098638599,0.5044508224021105,0.5044031384852304
13-1041.08,4.916393472164938,0.1430164897648749,4.656688426055404,0.34049581312354693,0.736925638573147
13-1051.00,1.3240001377845996,0.2679865905714522,5.528515347658409,0.5548373043081107,0.4638383980554485
13-1071.00,6.173325090574515,0.3394120345538251,4.564254867554135,0.5121866686414607,0.4538268666657112
13-1074.00,4.753634777016684,0.2844640733885865,3.7688233953430963,0.4494218454969561,0.57258510162417
13-1075.00,0.1889818000686158,0.3247890598311123,5.790223709437401,0.5581311170133498,0.45313712612337204
13-1081.00,0.5238049791521895,0.2398170282377765,5.597670780599141,0.448374561491496,0.5686430243513864
13-1081.01,1.4398547868617817,0.3175010679424027,6.518415524267893,0.483943503449092,0.5571217106702975
13-1081.02,1.3539187282032958,0.135198412700818,4.563055208703624,0.5593369530943089,0.4221666570595007
13-1111.00,0.9452283159824152,0.3954005003060865,5.2744362156998275,0.43120680541485834,0.611826575449235
13-1121.00,6.1011413009493305,0.3580724907353939,4.055929143903428,0.4578541809675094,0.5632683987293721
13-1131.00,6.0286213205005135,0.4050077186106269,5.098518918385974,0.5122132480534891,0.4983578745976639
13-1141.00,0.2907728630487508,0.3971089606064563,4.7259590813493535,0.42358025001109834,0.6074820194401924
13-1151.00,0.0824971728011075,0.3769409172603343,5.665349395369896,0.5025137827921997,0.5014151162753002
13-1161.00,0.6830023646584095,0.4275656050272805,4.9013517906045765,0.4325993150418963,0.6005488651394745
13-1161.01,0.5293278767525879,0.304169990954577,4.628902140299082,0.48863362894324847,0.4494445516370265
13-1199.04,0.8110634968504219,0.4300545958267456,5.888575165912557,0.41328552779817684,0.557399752936358
13-1199.05,0.8417859622375393,0.5293495894076662,3.3620002912561135,0.4799661167448033,0.5107625602800493
13-1199.06,5.112857492262097,0.1439105460408159,4.2975862207928754,0.47482274988947415,0.5021238245494835
13-1199.07,1.2063885746747411,0.3871785918046034,4.337619087988668,0.49918773045057896,0.4529185817299402
13-2022.00,1.5728660933478893,0.1502626209516507,3.1352580794762335,0.4119448803189767,0.6216926071744734
13-2023.00,1.1189103939654526,0.2453937842554601,2.636217425357641,0.339130138840966,0.6945061750532846
13-2031.00,0.4266786894064343,0.3587692731109581,5.291732877497586,0.4011015802329261,0.6126456445007209
13-2041.00,0.6580261306930033,0.3066582110647664,4.592632030245827,0.4158688125555654,0.6348605804876633
13-2052.00,0.0898399126609547,0.4501431593370665,5.033483574260173,0.4635929035961577,0.5662584459659434
13-2053.00,0.8503122727209378,0.2781722116789119,4.2639004291338605,0.36903138180196904,0.6569957929590544
13-2061.00,0.6284778747563359,0.4341738360905043,5.396503186488219,0.45340690686469154,0.5495449964581441
13-2071.00,6.0865882297630325,0.4088559988590053,5.026934826396598,0.4679566954052128,0.5484647983268395
13-2072.00,6.114438597915364,0.2719890356671332,4.188168081746176,0.4423349988891856,0.5918819054249557
13-2081.00,6.221210202493147,0.2369129373023133,4.0782406306859205,0.37620439806854367,0.6677365038272343
13-2082.00,5.788776850082179,0.2092701794001317,4.677770694370594,0.35530898433223457,0.7174603331100503
13-2099.01,1.1046696851649505,0.5507251229516121,5.62587847369415,0.48613748506382515,0.5580201712811942
13-2099.04,0.6563389181294915,0.3650524516552589,4.728915481417275,0.563365308645349,0.3692467014305169
15-1211.00,1.062428753271154,0.3278357774878006,6.336035454054443,0.5668767863025099,0.43718848195598087
15-1211.01,0.5932649110266809,0.528663008398599,5.685749194986735,0.5123794325114701,0.5010680093530548
15-1212.00,0.7848864317626825,0.2927734563252427,3.245187597281504,0.4338755403906902,0.6153210240175065
15-1221.00,0.6656612660243861,0.3252277791497434,8.000333859169778,0.5199748114452944,0.4929092839730834
15-1231.00,1.5952365890863978,0.1735673418980226,5.073684480180046,0.5170700984239349,0.48236880479353755
15-1232.00,1.6549504641582633,0.1729617565755807,3.9405138755057214,0.4419812626529134,0.5816361940482335
15-1241.00,1.148774053199299,0.2806013649870387,6.366787572976538,0.5155643972489719,0.5073320645843173
15-1241.01,1.3921015985123648,0.2310772479256387,4.3696497974647395,0.4979282192257599,0.5091661615754483
15-1242.00,0.9789586432515978,0.2672713687879087,5.247158765997232,0.4665367039240407,0.5044069834025617
15-1243.00,0.9008376034859592,0.2828340902470112,5.1281717283097,0.4921705677825401,0.4306270972169405
15-1243.01,1.3207454831560597,0.2753841897983863,4.463817756723488,0.42568603575047104,0.5621540329612341
15-1244.00,1.2597141985401508,0.1348613427142011,7.751330854316302,0.5692396552930756,0.44300133105491313
15-1251.00,1.094201995607587,0.2345239179873533,5.907303975896735,0.4510862740934154,0.5042988086639945
15-1252.00,1.3096121022394662,0.4522667520977108,5.455988116085929,0.5606076549042205,0.4112837445988653
15-1253.00,1.37375055058217,0.4887001598756539,5.436600374769491,0.4701284949784561,0.567249415118105
15-1254.00,0.8945441107975675,0.2361776013975826,5.291509676831436,0.44764421834410983,0.5300273250178859
15-1255.01,0.7953480534571382,0.3178969690076014,5.374822765683201,0.5457308376353498,0.3870192600047226
15-1299.01,0.9791888517383124,0.3203560554033627,4.472600303569555,0.4921662369413098,0.5181479864757751
15-1299.03,0.714855444433118,0.3196608858235149,3.9890492972055425,0.4489310549269967,0.5576676398031918
