onet_code,xi,chi,norm_v,norm_v_minus_global,gini_v,gini_resid_abs,participation_v,participation_resid_abs,dist_to_xi_centroid,cos_dist_to_xi_centroid,mean_level
11-1011.00,0.0433035801831192,0.4287505464956168,20.672351099959577,7.479894210639536,0.4899327823313562,0.3611234790250861,0.5659987438032799,0.7140618909511457,4.491249897026707,0.018220051984741525,2.1567307692307693
11-1011.03,0.732096029429244,0.5689760041705043,18.206378003326197,6.945907964256144,0.5265754065565307,0.4034727092723518,0.5275723551802208,0.6324307306287748,3.034625171137183,0.013713258909614612,1.8338461538461535
11-1021.00,6.007615683350592,0.2240491408582009,17.004264171083676,5.3251116192725885,0.447392789858543,0.4233208114616642,0.6175534500257389,0.6031768355275248,2.6002066999228264,0.010980694555322135,1.8530769230769228
11-2011.00,6.186102434004539,0.3534797688792016,18.177780392556183,6.829142920512246,0.5215346753989543,0.3730428917567079,0.5306775779405223,0.7009201636920667,3.7235016009760735,0.02120372276645366,1.836346153846154
11-2021.00,0.5229740902854406,0.3296503324119372,18.304827232181133,7.05119930987616,0.5136275236523917,0.38262274696812537,0.534576691974831,0.6569768398710999,3.583151765945644,0.01899133835568756,1.8559615384615387
11-2022.00,5.913720083281847,0.2702162985214765,17.455365937155253,7.025788299489112,0.5223876211106073,0.37607457247805876,0.5298089805030964,0.6846961617209835,3.911610848131309,0.025235237223346196,1.761923076923077
11-2033.00,6.222246875649881,0.4352317519781654,16.981548810400067,7.117170859759218,0.5265228141155316,0.44184742490398565,0.527991418165949,0.5981900754269276,4.241628851931246,0.02826585868847542,1.711153846153846
11-3012.00,5.92452485453443,0.3145018020162946,17.143567306718865,3.0307338923562464,0.35009847904584745,0.407822541384224,0.7275911883941808,0.6575022138416313,2.3650517583035886,0.00930477842524391,2.027884615384615
11-3013.00,5.985404088814467,0.1614334976656468,19.164041849255078,3.284881652464207,0.20643989921446582,0.4700019797570838,0.8815301452867296,0.5835602850398984,5.961957169669957,0.048759813091039605,2.4951923076923075
11-3013.01,0.5435295046867468,0.4130528420930592,20.44291075165178,4.310356004206226,0.22668026843826938,0.3954719819143504,0.861914649875817,0.6712171731692026,5.815696454980759,0.03950802232445372,2.6319230769230773
11-3021.00,0.3670773944145555,0.3243295729907653,18.01030260711907,5.0578551955472415,0.45222018681967535,0.4098786247148991,0.6122277600933216,0.6446592270345994,2.7337533496014785,0.010871705407730525,1.9542307692307692
11-3031.00,0.0515159830035767,0.2822558739494258,18.0817062248008,6.9900307857986945,0.5189815670795914,0.4410245230620031,0.5385808999137077,0.6062002358545565,4.189321057815198,0.026754982457559917,1.8401923076923077
11-3031.01,6.148165771531114,0.3595269992372665,18.620048335060787,7.634645024236202,0.5418566200077048,0.3916077682372512,0.509481781138302,0.6479043271043542,4.591947100254265,0.03073565763333086,1.843076923076923
11-3031.03,0.5341012725388751,0.3991261370174889,18.72315678511506,7.625817621443955,0.5307914858441831,0.49908749858030466,0.513818508140395,0.525776647070206,4.043772606415681,0.023567539551795913,1.861153846153846
11-3051.00,1.3134835919246792,0.1989493809389516,19.90139693589372,3.3373530833303264,0.29017401127227704,0.4918166353798483,0.7957656315208703,0.530055671450296,3.7630655437851743,0.01736590293274587,2.4619230769230773
11-3051.01,1.484115002856005,0.4914072481261543,19.483421157486692,4.412452930601462,0.39161882396769543,0.310758760796368,0.6773408537134101,0.767910531849451,2.202324584919494,0.006212924903969963,2.223653846153846
11-3051.02,1.8948485586556505,0.3841004002886786,19.277253435072126,3.906839904599632,0.2930012508323323,0.44729311496626045,0.7907033070532012,0.5980941720908731,2.914628554813149,0.011475190900545829,2.3771153846153847
11-3051.03,2.075131576919265,0.3588226288163271,19.94141419257922,3.876851439435389,0.29515667278701185,0.4983322571105633,0.784423957071948,0.5415417267827427,3.0375697990304062,0.011219542576230479,2.4492307692307693
11-3051.04,2.180309482899524,0.3643240184489,19.879657944743418,3.3020738081165772,0.28110216888825,0.46740805187914103,0.8029983939615194,0.5442999894817159,2.2583430616658973,0.005875479006845263,2.4703846153846154
11-3051.06,1.899580734847213,0.3619547728992088,20.740537601518433,4.9827861404304175,0.272231061104657,0.43197660039042063,0.8076436820034986,0.6254583517178455,3.738293697208502,0.014503017978688804,2.5848076923076917
11-3061.00,6.1839087718956725,0.1570291386209303,17.657409209734027,7.14508317165878,0.5205614744213507,0.4741865739142812,0.5276333662645698,0.5481774758674861,4.111500560347937,0.026852132138903584,1.7786538461538464
11-3071.04,1.392304629126777,0.2250197200666636,17.27450433442303,6.656566531975322,0.5144120005063504,0.44897774179495786,0.5354252063607694,0.5539183655574073,4.383310868062527,0.025373121485201766,1.7528846153846152
11-3111.00,0.0771189833725487,0.3880726179377382,15.728334304687193,7.653860273316481,0.5651683696827423,0.3496977592343624,0.4847920277902633,0.7188695415747015,5.255586929035977,0.037690640047367,1.5186538461538461
11-3121.00,6.2061629072293165,0.3682755116910413,18.191047248578077,7.366230671409154,0.5339826381537156,0.4294930086918607,0.5185338769896338,0.6303166078542483,4.048794302994678,0.025062377314650885,1.8165384615384617
11-3131.00,0.2840037764268779,0.419892708972293,18.24045503818367,6.770718702852461,0.5189631203860534,0.37392690116505456,0.5357935521745784,0.6858164532104725,3.754007449644409,0.020836668257843804,1.8515384615384616
11-9021.00,1.2298152392625172,0.2799187859648356,20.470864661757695,4.416675648096764,0.30666786899010745,0.469814057064748,0.7766263286561513,0.5778986296678126,4.155763647871196,0.01865936828399639,2.501730769230769
11-9031.00,6.194239750969961,0.5442735627955397,17.897240010683213,4.480039085117582,0.4191650166967109,0.3935882860637048,0.6508678963554098,0.6487755191190202,1.8660739646445117,0.0054494770011557225,2.0023076923076926
11-9032.00,6.114995876800583,0.54943462147533,19.65842313106522,7.204326771883118,0.5003923164104505,0.4158664790507851,0.5578624943091984,0.6397483476216197,3.8856733301778767,0.01601915735191306,2.036153846153846
11-9033.00,6.003149249424346,0.5891900942827812,18.25795443087752,7.452953358079729,0.5462184355381496,0.36782107477350845,0.5042231001809425,0.6990521427956043,3.9264190019511975,0.02320332909790568,1.7978846153846155
