bin_center_deg,mean_abs_dlnw,p20_abs_dlnw,p80_abs_dlnw,mean_abs_dfit_lnw,mean_abs_dres_lnw,mean_abs_dE,p20_abs_dE,p80_abs_dE,mean_abs_dfit_E,mean_abs_dres_E,n_pairs
3.0,0.3067477692858057,0.08072547175665933,0.4840790611197104,0.01748098200005205,0.306320918918698,1.2394922502476569,0.25370000000000015,1.9541800000000007,0.17368051876227827,1.2543409138741104,13123
9.0,0.3108551141212592,0.08447558651940064,0.496322039164423,0.04850049746173768,0.3067324226916761,1.2830646434108528,0.26598000000000005,2.0443200000000004,0.2528833022345752,1.280258979362761,12900
15.0,0.3280941324312152,0.08812687548121474,0.5254124278490081,0.07968847448657687,0.3185212751830697,1.3819285939837127,0.29375999999999997,2.18318,0.3766428047971046,1.3468106492660152,12034
21.0,0.3457486954752657,0.09696984864838906,0.5507492587543741,0.10993985925708978,0.3269681543422732,1.4671797637161015,0.34553999999999957,2.3133200000000014,0.5046565739104456,1.389190075655746,11173
27.0,0.37114814210235614,0.10425748934022394,0.5886606816889355,0.13849927131238568,0.34041130397456937,1.6513095436488712,0.4125999999999994,2.5631,0.6420520857079467,1.5168055646501362,10321
33.0,0.38731612849198815,0.11526129949174573,0.6105267904708658,0.1639568597331455,0.3476860272086111,1.7244772638100152,0.4630800000000004,2.67502,0.7948395022588061,1.551220761226093,9685
39.0,0.40006444385422124,0.12161291630541174,0.6247743087820362,0.18874480838510857,0.35573516465209876,1.8560924060314685,0.48272000000000015,2.8856,0.9353803453021409,1.640274244189153,9152
45.0,0.4132080254854654,0.12802998139437793,0.6547688748696667,0.2128035892858226,0.35509603549306745,1.871301596648171,0.5114999999999998,2.8919000000000015,1.0547728255413653,1.5949061246297682,8831
51.0,0.418580126488719,0.1327085395018468,0.6602183701012847,0.23365964585602705,0.35407860262863305,1.9466524997072943,0.5247999999999999,3.0717,1.169114699512922,1.5942575255584621,8541
57.0,0.4326113091019139,0.14045763991896348,0.6819896430688047,0.2546284319094115,0.35330966146637793,1.9951299421571966,0.5139600000000004,3.1648400000000003,1.2753684838306327,1.570089452667265,8817
63.0,0.43322246390604446,0.14125486603396925,0.6875284252343121,0.2768568359011699,0.34632638704928354,2.0434195068251872,0.5267600000000001,3.2905400000000014,1.3868369169493733,1.55477234662754,9084
69.0,0.449724334154761,0.14891757746248538,0.7124428365744584,0.30058458826574647,0.34822238528015814,2.1471238100230656,0.53634,3.479000000000002,1.518352217063533,1.5565575975764436,9538
75.0,0.4688940882887124,0.1592545232129609,0.7513580913324507,0.33094765229626133,0.3455239532149143,2.255443260483112,0.5789999999999997,3.6597,1.6680510711736145,1.535974237964293,9563
81.0,0.48629003804134885,0.16608309256678694,0.7751227270079559,0.3540511269977567,0.34886982649362724,2.3550206935009634,0.6171400000000004,3.791660000000001,1.8309492884085143,1.5316071231882566,9863
87.0,0.5029947696560343,0.17622254656748115,0.7923948680695316,0.3799995694361661,0.34230451536682693,2.437040987254704,0.6981000000000002,3.8904000000000005,2.0117112750323116,1.4913410733429697,9886
93.0,0.5159434222243046,0.18413339171797097,0.8207707337970394,0.4054646611354214,0.3466755440168196,2.562900963065925,0.7458800000000005,4.09824,2.199387477456151,1.48586247764392,10072
99.0,0.5345051911387385,0.18484382097824384,0.8539172828605109,0.42676792675153524,0.34254196531962855,2.6958547461150157,0.8525400000000001,4.2255400000000005,2.353048748489506,1.445806890779264,10103
105.0,0.5427670390461982,0.18095611089275057,0.8618039238021992,0.44764030957011497,0.3457032988289782,2.8370544786494536,0.9444599999999997,4.369420000000002,2.544000475571122,1.4707438648904207,10070
111.0,0.5621124492148372,0.19664844941471626,0.8863137135374788,0.466818744050417,0.34067662704969576,2.9532275667096517,1.0578000000000003,4.5120000000000005,2.697313810208526,1.500324001220172,10081
117.0,0.5745632211989482,0.21020206433530939,0.8955193993605687,0.48611986175657346,0.34160428122687436,3.050601338412437,1.1271000000000004,4.585000000000001,2.8487153218598698,1.502447712895216,9713
123.0,0.5769580761416838,0.21266064967505605,0.9012098428319377,0.5003250790299552,0.3320697382162238,3.057973835347588,1.1676999999999995,4.603999999999999,2.982739772355581,1.4737601873922637,9681
129.0,0.5798090361377516,0.21705025849854964,0.9013357109254114,0.515113761064033,0.3343373049628366,3.1572049837030804,1.2414,4.737500000000001,3.140817252256613,1.4990777694055466,9511
135.0,0.5969534225142249,0.2227751693679696,0.9343940505069684,0.5263451152190525,0.333783981193644,3.262964948139109,1.3479200000000002,4.86066,3.268283951756395,1.5049942740036868,9834
141.0,0.5887857831260418,0.2166992006142773,0.9255029889879323,0.5373015016688992,0.34094627877787853,3.3523056349285647,1.42126,4.971320000000002,3.3894053774193345,1.5289762565703333,10009
147.0,0.6031843620904219,0.21964398518794503,0.9582549309731871,0.5427417222680171,0.33924010267709004,3.4394437451437447,1.4984999999999995,5.104700000000001,3.4752193758332015,1.5446133987396564,10296
153.0,0.6177593772472739,0.2319004222026008,0.9790122706630501,0.5433796886553881,0.34898124961797017,3.626141692700937,1.6574200000000003,5.346019999999999,3.5409030149687504,1.567422998300241,10563
159.0,0.6299931871355262,0.2381803935517312,0.997106846618774,0.5493169073410352,0.3505904128719919,3.7661179524546866,1.7849199999999996,5.524419999999999,3.612397221742725,1.6132642759238414,10979
165.0,0.6483554028027871,0.25523003041227543,1.021473453949861,0.5546154442540249,0.3582993209773908,3.879305704788429,1.8954999999999997,5.6814,3.671512222132483,1.6363607189850489,11131
171.0,0.6649829670898543,0.2585133167462256,1.0395693113143252,0.5545742850363699,0.3635299078765595,4.038436175911526,1.9988000000000001,5.918499999999999,3.704926132178336,1.696263670037162,11574
177.0,0.6735460564523391,0.26798995110049345,1.0464193891494942,0.5561171365381473,0.36696218756749005,4.111550232919254,2.0254600000000003,6.034640000000001,3.715053982486457,1.739625242658747,11592
