metric,sector,sector_center_deg,rho,p,n
norm_v_minus_global,0,22.5,0.3624156355455568,2.8255255769872814e-05,127
norm_v_minus_global,1,67.5,0.3419381015711291,0.0002560243578765539,110
norm_v_minus_global,2,112.5,0.4067780337941629,0.0009384355696764439,63
norm_v_minus_global,3,157.5,0.3888157894736842,9.863819626556394e-05,95
norm_v_minus_global,4,202.5,0.09544743817001763,0.1999434242845225,182
norm_v_minus_global,5,247.49999999999997,0.18780776424781462,0.12511030096841655,68
norm_v_minus_global,6,292.5,-0.09079600148093298,0.4416852430498629,74
norm_v_minus_global,7,337.5,0.3252328636255076,2.8772772595064444e-05,159
gini_resid_abs,0,22.5,0.02710793963254593,0.7622510666006724,127
gini_resid_abs,1,67.5,0.018740842594053602,0.845919594810547,110
gini_resid_abs,2,112.5,-0.10176651305683565,0.4274078900370556,63
gini_resid_abs,3,157.5,0.08715005599104143,0.4010272165842316,95
gini_resid_abs,4,202.5,-0.03397426773932525,0.6488851585698825,182
gini_resid_abs,5,247.49999999999997,-0.11096690460739779,0.3676531609682983,68
gini_resid_abs,6,292.5,0.047848944835246196,0.6855975995046502,74
gini_resid_abs,7,337.5,-0.18486386434201102,0.019658864685110133,159
participation_resid_abs,0,22.5,-0.03550923322084739,0.6918563220755114,127
participation_resid_abs,1,67.5,-0.07827694249712598,0.41630673958249304,110
participation_resid_abs,2,112.5,0.0886136712749616,0.4898011533103584,63
participation_resid_abs,3,157.5,-0.09972004479283315,0.3363093281000543,95
participation_resid_abs,4,202.5,0.036876537102965866,0.6211422311811078,182
participation_resid_abs,5,247.49999999999997,0.1048211627285567,0.39493657873420246,68
participation_resid_abs,6,292.5,-0.04853017400962606,0.6813606682183629,74
participation_resid_abs,7,337.5,0.18657153092906614,0.018536194101083293,159
