skill,theta_rad,theta_deg,intensity_norm01
Active Learning,0.0,0.0,0.9774971969721115
Active Learning,0.008726646259971648,0.5,0.975385655708008
Active Learning,0.017453292519943295,1.0,0.9732183944432987
Active Learning,0.026179938779914945,1.5000000000000002,0.97099707861207
Active Learning,0.03490658503988659,2.0,0.9687228738818427
Active Learning,0.04363323129985824,2.5,0.9663965036636567
Active Learning,0.05235987755982989,3.0000000000000004,0.9640183084901274
Active Learning,0.061086523819801536,3.5,0.9615883065407834
Active Learning,0.06981317007977318,4.0,0.9591062546075049
Active Learning,0.07853981633974483,4.5,0.9565717088137003
Active Learning,0.08726646259971647,5.0,0.953984084428551
Active Learning,0.09599310885968812,5.5,0.9513427141517737
Active Learning,0.10471975511965978,6.000000000000001,0.9486469042841553
Active Learning,0.11344640137963143,6.5,0.9458959882440324
Active Learning,0.12217304763960307,7.0,0.9430893769392734
Active Learning,0.1308996938995747,7.499999999999999,0.9402266055572774
Active Learning,0.13962634015954636,8.0,0.9373073763915284
Active Learning,0.14835298641951802,8.5,0.934331597381388
Active Learning,0.15707963267948966,9.0,0.9312994161013706
Active Learning,0.16580627893946132,9.5,0.9282112489964982
Active Learning,0.17453292519943295,10.0,0.9250678057205298
Active Learning,0.1832595714594046,10.5,0.9218701084934154
Active Learning,0.19198621771937624,11.0,0.9186195064524618
Active Learning,0.2007128639793479,11.5,0.9153176850277593
Active Learning,0.20943951023931956,12.000000000000002,0.9119666704259918
Active Learning,0.2181661564992912,12.5,0.908568829357079
Active Learning,0.22689280275926285,13.0,0.9051268641849585
Active Learning,0.23561944901923448,13.5,0.9016438037266311
Active Learning,0.24434609527920614,14.0,0.8981229899620774
Active Learning,0.2530727415391778,14.500000000000002,0.8945680609516181
Active Learning,0.2617993877991494,14.999999999999998,0.8909829302863932
Active Learning,0.27052603405912107,15.5,0.8873717634218478
Active Learning,0.2792526803190927,16.0,0.8837389512633639
Active Learning,0.2879793265790644,16.5,0.8800890813873735
Active Learning,0.29670597283903605,17.0,0.8764269072906128
Active Learning,0.30543261909900765,17.5,0.8727573160646946
Active Learning,0.3141592653589793,18.0,0.8690852948929977
Active Learning,0.32288591161895097,18.5,0.865415896762394
Active Learning,0.33161255787892263,19.0,0.8617542057736122
Active Learning,0.34033920413889424,19.5,0.8581053024215869
Active Learning,0.3490658503988659,20.0,0.8544742292011701
Active Learning,0.35779249665883756,20.5,0.8508659568744951
Active Learning,0.3665191429188092,21.0,0.8472853517145433
Active Learning,0.3752457891787809,21.5,0.8437371440153572
Active Learning,0.3839724354387525,22.0,0.8402258981333965
Active Learning,0.39269908169872414,22.5,0.8367559842971152
Active Learning,0.4014257279586958,23.0,0.833331552393323
Active Learning,0.41015237421866746,23.5,0.829956507909801
Active Learning,0.4188790204786391,24.000000000000004,0.8266344901842058
Active Learning,0.4276056667386107,24.5,0.8233688530800249
Active Learning,0.4363323129985824,25.0,0.820162648181488
Active Learning,0.44505895925855404,25.5,0.817018610571241
Active Learning,0.4537856055185257,26.0,0.8139391472275459
Active Learning,0.4625122517784973,26.5,0.8109263280520108
Active Learning,0.47123889803846897,27.0,0.807981879514583
Active Learning,0.4799655442984406,27.5,0.8051071808799658
Active Learning,0.4886921905584123,28.0,0.8023032629588495
Active Learning,0.49741883681838395,28.500000000000004,0.7995708093084898
Active Learning,0.5061454830783556,29.000000000000004,0.796910159790317
Active Learning,0.5148721293383273,29.500000000000004,0.7943213163773855
Active Learning,0.5235987755982988,29.999999999999996,0.7918039510916496
Active Learning,0.5323254218582705,30.5,0.7893574159401918
Active Learning,0.5410520681182421,31.0,0.786980754710592
Active Learning,0.5497787143782138,31.5,0.7846727164785492
Active Learning,0.5585053606381855,32.0,0.7824317706755163
Active Learning,0.5672320068981571,32.5,0.7802561235603972
Active Learning,0.5759586531581288,33.0,0.7781437359371384
Active Learning,0.5846852994181004,33.5,0.7760923419591753
Active Learning,0.5934119456780721,34.0,0.7740994688620706
Active Learning,0.6021385919380436,34.5,0.7721624574670859
Active Learning,0.6108652381980153,35.0,0.7702784833008063
Active Learning,0.619591884457987,35.5,0.7684445781790736
Active Learning,0.6283185307179586,36.0,0.7666576521073001
Active Learning,0.6370451769779303,36.5,0.764914515353585
Active Learning,0.6457718232379019,37.0,0.7632119005558466
Active Learning,0.6544984694978736,37.5,0.7615464847293028
Active Learning,0.6632251157578453,38.0,0.7599149110460156
Active Learning,0.6719517620178169,38.5,0.7583138102637969
Active Learning,0.6806784082777885,39.0,0.7567398216874676
Active Learning,0.6894050545377601,39.5,0.7551896135512913
Active Learning,0.6981317007977318,40.0,0.7536599027172804
Active Learning,0.7068583470577035,40.5,0.7521474735900324
Active Learning,0.7155849933176751,41.0,0.750649196154761
Active Learning,0.7243116395776468,41.5,0.749162043051276
Active Learning,0.7330382858376184,42.0,0.7476831056028255
Active Learning,0.7417649320975901,42.5,0.7462096087249889
Active Learning,0.7504915783575618,43.0,0.7447389246461987
Active Learning,0.7592182246175333,43.5,0.7432685853780117
Active Learning,0.767944870877505,44.0,0.7417962938799629
Active Learning,0.7766715171374766,44.5,0.7403199338707361
Active Learning,0.7853981633974483,45.0,0.7388375782444896
Active Learning,0.7941248096574199,45.5,0.7373474960584899
Active Learning,0.8028514559173916,46.0,0.735848158065738
Active Learning,0.8115781021773633,46.5,0.7343382407740003
Active Learning,0.8203047484373349,47.0,0.7328166290205816
Active Learning,0.8290313946973066,47.5,0.7312824170602528
Active Learning,0.8377580409572782,48.00000000000001,0.7297349081719572
Active Learning,0.8464846872172498,48.5,0.7281736127982145
Active Learning,0.8552113334772214,49.0,0.7265982452394453
Active Learning,0.8639379797371931,49.5,0.7250087189337479
Active Learning,0.8726646259971648,50.0,0.7234051403608427
Active Learning,0.8813912722571364,50.5,0.7217878016169326
Active Learning,0.8901179185171081,51.0,0.7201571717150245
Active Learning,0.8988445647770797,51.5,0.7185138866727313
Active Learning,0.9075712110370514,52.0,0.7168587384566789
Active Learning,0.9162978572970231,52.50000000000001,0.715192662859276
Active Learning,0.9250245035569946,53.0,0.7135167263897262
Active Learning,0.9337511498169663,53.5,0.7118321122666914
Active Learning,0.9424777960769379,54.0,0.7101401056049206
Active Learning,0.9512044423369096,54.5,0.7084420778923591
Active Learning,0.9599310885968813,55.0,0.7067394708577627
Active Learning,0.9686577348568529,55.5,0.705033779831585
Active Learning,0.9773843811168246,56.0,0.7033265367049123
Active Learning,0.9861110273767962,56.5,0.7016192925924623
Active Learning,0.9948376736367679,57.00000000000001,0.6999136003061558
Active Learning,1.0035643198967394,57.5,0.6982109967455438
Active Learning,1.0122909661567112,58.00000000000001,0.6965129853104517
Active Learning,1.0210176124166828,58.5,0.6948210184396268
Active Learning,1.0297442586766545,59.00000000000001,0.6931364803769949
Active Learning,1.038470904936626,59.5,0.6914606702644187
Active Learning,1.0471975511965976,59.99999999999999,0.6897947856566432
Active Learning,1.0559241974565694,60.5,0.6881399065504967
Active Learning,1.064650843716541,61.0,0.6864969800164534
Active Learning,1.0733774899765127,61.50000000000001,0.6848668055164202
Active Learning,1.0821041362364843,62.0,0.6832500209871609
Active Learning,1.090830782496456,62.50000000000001,0.6816470897641707
Active Learning,1.0995574287564276,63.0,0.6800582884161294
Active Learning,1.1082840750163994,63.50000000000001,0.6784836955553332
Active Learning,1.117010721276371,64.0,0.6769231816847978
Active Learning,1.1257373675363425,64.5,0.6753764001380429
Active Learning,1.1344640137963142,65.0,0.6738427791629619
Active Learning,1.1431906600562858,65.5,0.6723215151966535
Active Learning,1.1519173063162575,66.0,0.6708115673736397
Active Learning,1.160643952576229,66.5,0.6693116533055306
Active Learning,1.1693705988362009,67.0,0.6678202461658692
Active Learning,1.1780972450961724,67.5,0.6663355731096132
Active Learning,1.1868238913561442,68.0,0.664855615052406
Active Learning,1.1955505376161157,68.5,0.6633781078304541
Active Learning,1.2042771838760873,69.0,0.6619005447573717
Active Learning,1.213003830136059,69.5,0.660420180589763
Active Learning,1.2217304763960306,70.0,0.6589340369085064
Active Learning,1.2304571226560024,70.5,0.6574389089176393
Active Learning,1.239183768915974,71.0,0.6559313736573662
Active Learning,1.2479104151759457,71.5,0.6544077996219744
Active Learning,1.2566370614359172,72.0,0.6528643577673132
Active Learning,1.265363707695889,72.5,0.6512970338859263
Active Learning,1.2740903539558606,73.0,0.6497016423209141
Active Learning,1.2828170002158321,73.5,0.6480738409821434
Active Learning,1.2915436464758039,74.0,0.6464091476204986
Active Learning,1.3002702927357754,74.5,0.6447029573075347
Active Learning,1.3089969389957472,75.0,0.6429505610591577
Active Learning,1.3177235852557188,75.5,0.6411471655329012
Active Learning,1.3264502315156905,76.0,0.6392879137190425
Active Learning,1.335176877775662,76.5,0.6373679065363027
Active Learning,1.3439035240356338,77.0,0.6353822252333107
Active Learning,1.3526301702956054,77.5,0.6333259544874845
Active Learning,1.361356816555577,78.0,0.6311942060836366
Active Learning,1.3700834628155487,78.5,0.6289821430455811
Active Learning,1.3788101090755203,79.0,0.6266850040854473
Active Learning,1.387536755335492,79.5,0.6242981282274604
Active Learning,1.3962634015954636,80.0,0.621816979455771
Active Learning,1.4049900478554354,80.5,0.6192371712296759
Active Learning,1.413716694115407,81.0,0.6165544907044188
Active Learning,1.4224433403753787,81.5,0.6137649224918269
Active Learning,1.4311699866353502,82.0,0.6108646717924997
Active Learning,1.4398966328953218,82.5,0.607850186730196
Active Learning,1.4486232791552935,83.0,0.6047181797196085
Active Learning,1.457349925415265,83.5,0.6014656477009592
Active Learning,1.4660765716752369,84.0,0.5980898910788209
Active Learning,1.4748032179352084,84.5,0.5945885312083896
Active Learning,1.4835298641951802,85.0,0.5909595262800235
Active Learning,1.4922565104551517,85.5,0.5872011854623091
Active Learning,1.5009831567151235,86.0,0.5833121811751109
Active Learning,1.509709802975095,86.5,0.5792915593769713
Active Learning,1.5184364492350666,87.0,0.5751387477657649
Active Learning,1.5271630954950384,87.5,0.5708535618075349
Active Learning,1.53588974175501,88.0,0.5664362085258109
Active Learning,1.5446163880149817,88.5,0.5618872880022614
Active Learning,1.5533430342749532,89.0,0.5572077925590654
Active Learning,1.562069680534925,89.5,0.5523991036136773
Active Learning,1.5707963267948966,90.0,0.5474629862174889
Active Learning,1.5795229730548683,90.5,0.5424015813109957
Active Learning,1.5882496193148399,91.0,0.5372173957492191
Active Learning,1.5969762655748114,91.5,0.5319132901720194
Active Learning,1.6057029118347832,92.0,0.5264924648143433
Active Learning,1.6144295580947547,92.5,0.5209584433710664
Active Learning,1.6231562043547265,93.0,0.5153150550496953
Active Learning,1.631882850614698,93.5,0.509566414961523
Active Learning,1.6406094968746698,94.0,0.5037169030176523
Active Learning,1.6493361431346414,94.5,0.49777114151040186
Active Learning,1.6580627893946132,95.0,0.49173397157279586
Active Learning,1.6667894356545847,95.5,0.4856104287189396
Active Learning,1.6755160819145565,96.00000000000001,0.4794057176759618
Active Learning,1.684242728174528,96.5,0.4731251867237436
Active Learning,1.6929693744344996,97.0,0.4667743017617863
Active Learning,1.7016960206944713,97.5,0.4603586203232333
